,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
1557,Picanteria Carmencita,$ • Latina,,,"Picanteria De Carmita Mapasingue Guayaquil 090610, Guayaquil, Guayas 090202 Ecuador, Guayas 90202 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/picanteria-carmencita/_HrNqmaTSp6kHOL7BYnWnA
1558,La Fogata (Las Vitrinas),$$ • Latina,4.7,(26),"Calle 11b No, Guayaquil, Guayas 090512 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-fogata-las-vitrinas/mi8qBXEpQDWuLGqbFkHoPA
1559,La Fogata (Las Vitrinas),$$ • Latina,4.7,(26),"Calle 11b No, Guayaquil, Guayas 090512 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-fogata-las-vitrinas/mi8qBXEpQDWuLGqbFkHoPA
1560,La Fogata (Las Vitrinas),$$ • Latina,4.7,(26),"Calle 11b No, Guayaquil, Guayas 090512 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-fogata-las-vitrinas/mi8qBXEpQDWuLGqbFkHoPA
1561,Patacon con Todo,$ • Latina,,,"Av 7ma 524, Guayaquil 090610, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/patacon-con-todo/5G5n5f72Tea2tO_tMRJsLA
1562,A Lo Esmeraldeño,$$ • Latina,,,"Sauces Mz 548, Guayaquil 090505, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/a-lo-esmeraldeno/E9AfeYH-SU6N81F8x41CwA
1563,Cuchara Rústica,$ • Latina,,,"Calle 12b No 40, Guayaquil 090512, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/cuchara-rustica/VlMBtlceSDW2VwSDfSrhvw
1564,Rachy's Restaurant,$ • Latina,,,"Coronel Luciano Coral, Guayaquil 090615, Guayaquil, Guayas  Ecuador, Guayas 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/rachys-restaurant/z1vU40uXTPOmVZxz4s5aMg
1565,Café Colibrí Bakery & Bistro,$ • Latina,,,"Panamá & Luzarraga, Guayaquil 090313, Ecuador, Guayas 090313 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/cafe-colibri-bakery-%26-bistro/GZvhhOSjRIWp8eC2u_WE_g
1566,Bataclan,$ • Latina,,,"Dr Miguel Martínez Serrano & Av. Central, Guayaquil 090613, Ecuador, Cdla Miraflores Calle 2da Y Av Central,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/bataclan/0pQmp7xtTpqHbyPheuIXmg
1567,Bataclan,$ • Latina,,,"Dr Miguel Martínez Serrano & Av. Central, Guayaquil 090613, Ecuador, Cdla Miraflores Calle 2da Y Av Central,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/bataclan/0pQmp7xtTpqHbyPheuIXmg
1568,Lo de Edu & Kathy Restaurante,$ • Latina,,,"Av. Luis Plaza Dañin 811, Guayaquil 090510, Ecuador, Guayas 090510 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/lo-de-edu-%26-kathy-restaurante/oASXjRQcQFWoskGd83Sd_Q
1569,Delicias de mi Tierra,$ • Latina,,,"Victor Manuel Rendón &, Guayaquil 090312, Ecuador, Guayas 090312 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/delicias-de-mi-tierra/U46nMX6yTdOuuAKYEW04xQ
1570,Tipico Guayaco,$ • Latina,,,"Av. Dr. Adolfo Alvear Ordoñez 305-271, Guayaquil 090613, Guayaquil, Guayas 090202 Ecuador, Guayaquil 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/tipico-guayaco/XBD6Bx93QAmXMoTwEVxUkA
1571,Chop Chops (Village Plaza),$$ • Latina,4.6,(16),"Samborondon 092301, Ecuador, VILLAGE PLAZA Kilometro 1.5 Camino,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/chop-chops-village-plaza/p3X0pVwET0SCyYEErW8hkg
1572,Comidas de Victor (Sauces),$$ • Latina,4.6,(17),"Av. Agustín Freire Icaza, Guayaquil 090509, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/comidas-de-victor-sauces/Nx7TY0xJQDOiDpDAvETKRw
1573,El Bolon Asado,$ • Latina,4.6,(36),"El Bolon Asado Martha De Roldos Solar 6 Manzana: 512, Guayaquil, Guayas 090202 Ecuador, Guayas 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/el-bolon-asado/bmTsKhXvQnuiVEUDSGgoLw
1574,Sabor Típico manabita,$$ • Latina,,,"Sauces 8 Mz 494 Villa 28, Gabriel Roldós Garcés, Guayaquil 090507, Ecuador, Avenida Sauces 8 Mazana 494,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/sabor-tipico-manabita/RY1Jc9pHSoGjnyvc2et78Q
1575,Sabor Típico manabita,$$ • Latina,,,"Sauces 8 Mz 494 Villa 28, Gabriel Roldós Garcés, Guayaquil 090507, Ecuador, Avenida Sauces 8 Mazana 494,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/sabor-tipico-manabita/RY1Jc9pHSoGjnyvc2et78Q
1576,Empanadas Mobydick (Fco. Orellana),$ • Latina,,,"Pb, Av Francisco De Orellana, Guayaquil 090502, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/empanadas-mobydick-fco-orellana/s6U_kl-yTrehgAL0e3Fg8Q
1577,Tuko de Paila,$ • Latina,,,"Ciudadela Garzota, Local 15, Guayaquil 090505, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/tuko-de-paila/zTS4wxoJSyedwudvwye6Dg
1578,Pasteleate Varon,$ • Latina,,,"Sauces 1, Guayaquil, Guayas 090502 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/pasteleate-varon/yFP8MAypTXaPvA4_eVwy7A
1579,Pasteleate Varon,$ • Latina,,,"Sauces 1, Guayaquil, Guayas 090502 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/pasteleate-varon/yFP8MAypTXaPvA4_eVwy7A
1580,Mr. BBQ,$ • Latina,4.8,(11),"Calle Jose María Roura Oxandaberro, Local S-353, Guayaquil, Guayas 090505 Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/mr-bbq/pw4IKMukQDKsJQZEFAxdXw
1581,Tyson Grill,$ • Latina,,,"Urbanización San Felipe Mz 163 -2.13856, -79.92206, Guayaquil, Guayas  Ecuador, Guayas 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/tyson-grill/KMq6EgA4S7m36zCwRqx6oQ
1582,Restaurante Papi Miguel,$$ • Latina,,,"Ciudadela Adace Calle 10 Y La A Detras De La Camara De La Pequeña, Industria, Guayaquil, Guayaquil 090513, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/restaurante-papi-miguel/usenX6euS7WciCHfUJqvog
1583,Jugos y Frutas (Urdesa),$ • Latina,,,"Victor Emilio Estrada 418, Guayaquil, Guayas  Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/jugos-y-frutas-urdesa/2beF9aCARyKSxe77iXXNqA
1584,La Previa Restobar,$ • Latina,,,"Alborada 8va Etapa,C.C.Galerias,Mz 802 Local 10, Av. Francisco De Orellana, Guayaquil 090508, Ecuador, Local Planta Baja,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-previa-restobar/oxZLb7KrQqSon8frKWHtZw
1585,Empanada de Santi - Universidad Catolica,$$ • Latina,,,"Av. Pdte. Carlos Julio Arosemena Tola, Guayaquil, Guayas 090615 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/empanada-de-santi-universidad-catolica/0pyLr49OTieiAmtlRlBBOw
1586,La Comadrita Escondida,$ • Latina,,,"Alborada 11 Av. Francisco De Orellana, Y, Guayaquil 090112, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-comadrita-escondida/uxe-TIMWS-Kmn7nRt9dzZg
1587,Moralito Fuente de Soda,$ • Latina,,,"Urdenor 1, Sl 1 Mz 128, Guayaquil, Guayas  Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/moralito-fuente-de-soda/7jck0h7wRN6TQOKJavtiog
1588,Moralito Fuente de Soda,$ • Latina,,,"Urdenor 1, Sl 1 Mz 128, Guayaquil, Guayas  Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/moralito-fuente-de-soda/7jck0h7wRN6TQOKJavtiog
1589,Curtiditos,$ • Latina,,,"Av Rio Esmeraldas S.N Kiosko 5 (Parque Histórico De Guayaquil), Guayaquil, Guayas 092301 Ecuador, Guayas 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/curtiditos/Fp5mC8mvQ12J9lTHDxK-Fg
1590,Mangú Café (Samanes),$$ • Latina,,,"5to Callejon 20a Ne, Guayaquil 090502, Ecuador, Mz 403 Villa 19,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/mangu-cafe-samanes/_T0l8x2sR4yWonD9qxVZVQ
1591,La Cocina de Ma.Gabriela,$ • Latina,,,"Guayaquil 090150, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-cocina-de-magabriela/3OKNmGTnReG0IzbJKBboBg
1592,Pollos de Boncho (Kennedy Norte),$$ • Latina,,,"Velasco Ibarra, Guayaquil 090512, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/pollos-de-boncho-kennedy-norte/bF5fr7IsS6Gmb-0rjU5sTQ
1593,Ya Mi Pez,$$ • Latina,,,"Calle 16a No, Guayaquil, Guayas 090510 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/ya-mi-pez/HqcKOElFQrqObGjQBD8uxQ
1594,La Olla de Barro (Puerto Plaza),$ • Latina,,,"Puerto Plaza, Guayaquil, Guayas 090512 Ecuador, Guayas 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-olla-de-barro-puerto-plaza/qBYHLd_YSYqvGcum0Mm6cA
1595,La Olla de Barro (Puerto Plaza),$ • Latina,,,"Puerto Plaza, Guayaquil, Guayas 090512 Ecuador, Guayas 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-olla-de-barro-puerto-plaza/qBYHLd_YSYqvGcum0Mm6cA
1596,La Olla de Barro (Puerto Plaza),$ • Latina,,,"Puerto Plaza, Guayaquil, Guayas 090512 Ecuador, Guayas 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-olla-de-barro-puerto-plaza/qBYHLd_YSYqvGcum0Mm6cA
1597,Sanduches el chino (vernaza norte),$$ • Latina,,,"Hermano Miguel I Leopoldo Benítez, Guayaquil, Guayas 090513 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/sanduches-el-chino-vernaza-norte/A-1rBi7BQjCPaa0kAilQtQ
1598,Mr. Chuzo,$ • Latina,,,"Blvd. 9 De Octubre, Guayaquil 090514, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/mr-chuzo/KAd6SJoLTJGxZO-Uj4EAuQ
