,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
1027,Dulcería Emporio La Trinidad,$$ • Latina,,,"Alberto Arenas 3377, La Serena, La Serena, Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dulceria-emporio-la-trinidad/RKEte_P_TfGt51TEtQ0O1w
1028,Dulcería Emporio La Trinidad,$$ • Latina,,,"Alberto Arenas 3377, La Serena, La Serena, Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dulceria-emporio-la-trinidad/RKEte_P_TfGt51TEtQ0O1w
1029,Dulcería Emporio La Trinidad,$$ • Latina,,,"Alberto Arenas 3377, La Serena, La Serena, Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dulceria-emporio-la-trinidad/RKEte_P_TfGt51TEtQ0O1w
1030,Dulcería Emporio La Trinidad,$$ • Latina,,,"Alberto Arenas 3377, La Serena, La Serena, Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dulceria-emporio-la-trinidad/RKEte_P_TfGt51TEtQ0O1w
1031,Dulcería Emporio La Trinidad,$$ • Latina,,,"Alberto Arenas 3377, La Serena, La Serena, Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dulceria-emporio-la-trinidad/RKEte_P_TfGt51TEtQ0O1w
1032,Restaurant sabores,$ • Sándwich,4.6,(143),"Av. Balmaceda 655, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/restaurant-sabores/aN9lQkXBTXWPB5lK-NogEQ
1033,Restaurant sabores,$ • Sándwich,4.6,(143),"Av. Balmaceda 655, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/restaurant-sabores/aN9lQkXBTXWPB5lK-NogEQ
1034,Restaurant sabores,$ • Sándwich,4.6,(143),"Av. Balmaceda 655, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/restaurant-sabores/aN9lQkXBTXWPB5lK-NogEQ
1035,Juan Maestro - La Serena Centro,$ • Sándwich,4.2,(117),"Liber Bernardo O'Higgins 450, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/juan-maestro-la-serena-centro/h8Jb16wvRJ6uQTyTN63nWw
1036,Dunkin' - La Serena,$ • Postres,4.6,(271),"Alberto Solari 1400, Local Nf 241, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dunkin-la-serena/VSR1IWPRQXSM1XXwFSw_GA
1037,Dunkin' - La Serena,$ • Postres,4.6,(271),"Alberto Solari 1400, Local Nf 241, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dunkin-la-serena/VSR1IWPRQXSM1XXwFSw_GA
1038,Dunkin' - La Serena,$ • Postres,4.6,(271),"Alberto Solari 1400, Local Nf 241, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dunkin-la-serena/VSR1IWPRQXSM1XXwFSw_GA
1039,Gago Multimercado ,$ • Sándwich,4.7,(269),"Av Guillermo Ulriksen 2704, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/gago-multimercado/8fzHfTAXS1Kb4BnXd9aA7w
1040,Doggis - Serena Calle,$ • Sándwich,4.1,(94),"Liber Bernardo O'Higgins, La Serena, Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/doggis-serena-calle/0yY7A4RJSiecdP2mXmCN_w
1041,Doggis - Serena Calle,$ • Sándwich,4.1,(94),"Liber Bernardo O'Higgins, La Serena, Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/doggis-serena-calle/0yY7A4RJSiecdP2mXmCN_w
