,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
2045,Toto's Burger And Beef,$ • Burgers • Opciones para alérgicos,,,"Cl. 38b #79-7, Medellín, Antioquia, Colombia, 201,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/totos-burger-and-beef/GhJw4_HQQT-VhFFOiu_xLw
2046,Prime Burger,$ • Burgers,,,"Carrera 70 # 24 09, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/prime-burger/iuHFjxGXSaGQJPLq2UqzPw
2047,The Munchies,$ • Burgers,,,"Cl. 9 #41-70, Medellín, Antioquia 050021 Colombia, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/the-munchies/Rl1QAriOR9uhHnhuH26D8w
2048,Mas Burger (Laureles),$ • Burgers,,,"Bulevar Libertadores De América #44a-13, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/mas-burger-laureles/_prflGCzQFaMy6eYO_7h9Q
2049,FORK,$ • Burgers,,,"Cra. 44 ##50 Sur26, Sabaneta, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/fork/lTDkVG_QRdiUM28SPRQJRg
2050,Restaurante Bar Miami,$ • Americana,3.6,(17),"Circular 3 #69-38, Medellín, Antioquia 050031 Colombia, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/restaurante-bar-miami/SsKvUtmMQlytMhGJiK8g3A
2051,The Jungle,$ • Burgers,4.2,(16),"Carrera 83c # 17 - 110, Medellin, Antioquia 050026 Colombia, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/the-jungle/cPx3k5LoQqCpOxmhpsupFg
2052,El Garaje Express (Alpes Plaza),$ • Americana,,,"Carrera 83b # 30-42, Medellin, Antioquia 050026 Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/el-garaje-express-alpes-plaza/W7IXfkLsQ4yDrYkOADJ_LA
2053,"Premium Pizza, Alitas y Arroz",$ • Americana • Opciones para alérgicos,,,"Cra. 72 ## 29-61, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/premium-pizza-alitas-y-arroz/zkooUgF4SnKsweQKQ2Jp6Q
2054,La Calle Pub,$ • Burgers,,,"Av. 33 #76-132, Medellín, Antioquia 050031 Colombia, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/la-calle-pub/jcBqabSwQSuzKQKpPiGXVw
2055,Filo Big Food,$ • Burgers,,,"Cl. 42 #69a 30, Medellín, Antioquia 050031 Colombia, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/filo-big-food/bE9AkNwZRn-r_ln3XXXszQ
2056,Hot Dog Factory,$ • Americana • Opciones para alérgicos,,,"Avenida Jardín 74b #39b-151, Medellín, Antioquia, Colombia, Local ,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/hot-dog-factory/xmaWVGJ0QDyEXgww6T4z0A
2057,Burger City,$ • Burgers,,,"Avenida 74b # 39b 140, Medellin, Antioquia 050031 Colombia, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/burger-city/yB3HdQP1SnGM4wmOGDxF0g
