,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
617,Waby Sushi y Teppanyaki,$$ • Sushi,4.4,(30),"Cra. 10 #1a-50, Chía, Cundinamarca, Colombia, Cra 10 # 1a-50, Cundinamarca 250001 • Más información",https://www.ubereats.com/co/bogota/food-delivery/waby-sushi-y-teppanyaki/loyOYNoKRE-XyJ1IAy8Q6w
618,Beef & Burger Café Bistro,$ • Latina,4.7,(32),"A 4-46, Cl. 21 ##4-2, Chía, Cundinamarca, Colombia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/beef-%26-burger-cafe-bistro/ayp-VXxKRF-pqCWdHlS77g
619,Beef & Burger Café Bistro,$ • Latina,4.7,(32),"A 4-46, Cl. 21 ##4-2, Chía, Cundinamarca, Colombia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/beef-%26-burger-cafe-bistro/ayp-VXxKRF-pqCWdHlS77g
620,Pavo Munich,$ • Americana,,,"Cl. 2 ##8 - 08, Chía, Cundinamarca, Colombia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/pavo-munich/iCx95T1hR7qhVpgB48LXeg
621,Pavo Munich,$ • Americana,,,"Cl. 2 ##8 - 08, Chía, Cundinamarca, Colombia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/pavo-munich/iCx95T1hR7qhVpgB48LXeg
622,Pavo Munich,$ • Americana,,,"Cl. 2 ##8 - 08, Chía, Cundinamarca, Colombia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/pavo-munich/iCx95T1hR7qhVpgB48LXeg
623,Pavo Munich,$ • Americana,,,"Cl. 2 ##8 - 08, Chía, Cundinamarca, Colombia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/pavo-munich/iCx95T1hR7qhVpgB48LXeg
624,Naturalmente FC,$ • Sandwiches,4.6,(16),"Cra 9 # 21 - 294, Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/naturalmente-fc/McQ-9zyGRTK_-XVmMv4jog
625,Naturalmente FC,$ • Sandwiches,4.6,(16),"Cra 9 # 21 - 294, Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/naturalmente-fc/McQ-9zyGRTK_-XVmMv4jog
626,Sipote (Fontanar) - Takami,$ • Mexicana,4.8,(132),"Vía Chía Km 2.5 Cajicá Centro Comercial Fontanar Local 308 / 10-11, Chía, Cundinamarca, Colombia, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/sipote-fontanar-takami/gelyzS8rR_-iHNwfywBQ3Q
627,Sipote (Fontanar) - Takami,$ • Mexicana,4.8,(132),"Vía Chía Km 2.5 Cajicá Centro Comercial Fontanar Local 308 / 10-11, Chía, Cundinamarca, Colombia, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/sipote-fontanar-takami/gelyzS8rR_-iHNwfywBQ3Q
628,Sipote (Fontanar) - Takami,$ • Mexicana,4.8,(132),"Vía Chía Km 2.5 Cajicá Centro Comercial Fontanar Local 308 / 10-11, Chía, Cundinamarca, Colombia, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/sipote-fontanar-takami/gelyzS8rR_-iHNwfywBQ3Q
629,Sipote (Fontanar) - Takami,$ • Mexicana,4.8,(132),"Vía Chía Km 2.5 Cajicá Centro Comercial Fontanar Local 308 / 10-11, Chía, Cundinamarca, Colombia, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/sipote-fontanar-takami/gelyzS8rR_-iHNwfywBQ3Q
630,Sipote (Fontanar) - Takami,$ • Mexicana,4.8,(132),"Vía Chía Km 2.5 Cajicá Centro Comercial Fontanar Local 308 / 10-11, Chía, Cundinamarca, Colombia, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/sipote-fontanar-takami/gelyzS8rR_-iHNwfywBQ3Q
631,Mas Burger (Chia),$ • Burgers,,,"1860 Carrera 3, Chía,  250002 Colombia, Local 1, Bogota, 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/mas-burger-chia/aZeJLNdQTcKh7wUK9l3jEg
632,Mas Burger (Chia),$ • Burgers,,,"1860 Carrera 3, Chía,  250002 Colombia, Local 1, Bogota, 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/mas-burger-chia/aZeJLNdQTcKh7wUK9l3jEg
633,Mas Burger (Chia),$ • Burgers,,,"1860 Carrera 3, Chía,  250002 Colombia, Local 1, Bogota, 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/mas-burger-chia/aZeJLNdQTcKh7wUK9l3jEg
634,Mas Burger (Chia),$ • Burgers,,,"1860 Carrera 3, Chía,  250002 Colombia, Local 1, Bogota, 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/mas-burger-chia/aZeJLNdQTcKh7wUK9l3jEg
635,Mas Burger (Chia),$ • Burgers,,,"1860 Carrera 3, Chía,  250002 Colombia, Local 1, Bogota, 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/mas-burger-chia/aZeJLNdQTcKh7wUK9l3jEg
636,Mas Burger (Chia),$ • Burgers,,,"1860 Carrera 3, Chía,  250002 Colombia, Local 1, Bogota, 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/mas-burger-chia/aZeJLNdQTcKh7wUK9l3jEg
